track_name,album_name
Tell Me Something I Don't Know,Kiss & Tell (European Version)
Naturally - Dave Audé Radio Remix,Kiss & Tell (European Version)
A Year Without Rain - Dave Audé Club Remix,The Club Remixes
A Year Without Rain - Remix - EK'S Future Classic Club Mix,The Club Remixes
Round & Round - Dave Audé Club Remix,The Club Remixes
Naturally - Dave Audé Club Remix,The Club Remixes
A Year Without Rain - The Alias Club Mix,The Club Remixes
Kiss & Tell,Kiss & Tell (Deluxe Edition)
I Won't Apologize,Kiss & Tell (Deluxe Edition)
Falling Down,Kiss & Tell (Deluxe Edition)
I Promise You,Kiss & Tell (Deluxe Edition)
Crush,Kiss & Tell (Deluxe Edition)
Naturally,Kiss & Tell (Deluxe Edition)
The Way I Loved You,Kiss & Tell (Deluxe Edition)
More,Kiss & Tell (Deluxe Edition)
As A Blonde,Kiss & Tell (Deluxe Edition)
I Don't Miss You At All,Kiss & Tell (Deluxe Edition)
Stop & Erase,Kiss & Tell (Deluxe Edition)
I Got U,Kiss & Tell (Deluxe Edition)
Tell Me Something I Don't Know,Kiss & Tell (Deluxe Edition)
Falling Down - PLUG in LANGUAGE Remix,Kiss & Tell (Deluxe Edition)
Naturally,Artist Karaoke Series: Selena Gomez & The Scene
Falling Down,Artist Karaoke Series: Selena Gomez & The Scene
I Won't Apologize,Artist Karaoke Series: Selena Gomez & The Scene
I Promise You,Artist Karaoke Series: Selena Gomez & The Scene
A Year Without Rain,Artist Karaoke Series: Selena Gomez & The Scene
Round & Round,Artist Karaoke Series: Selena Gomez & The Scene
Live Like There's No Tomorrow,Artist Karaoke Series: Selena Gomez & The Scene
Who Says,Artist Karaoke Series: Selena Gomez & The Scene
Love You Like A Love Song,When The Sun Goes Down
Bang Bang Bang,When The Sun Goes Down
Who Says,When The Sun Goes Down
We Own The Night - Featuring Pixie Lott,When The Sun Goes Down
Hit The Lights,When The Sun Goes Down
Whiplash,When The Sun Goes Down
When The Sun Goes Down,When The Sun Goes Down
My Dilemma,When The Sun Goes Down
That's More Like It,When The Sun Goes Down
Outlaw,When The Sun Goes Down
Middle Of Nowhere,When The Sun Goes Down
Dices,When The Sun Goes Down
Love You Like A Love Song,When the Sun Goes Down (Deluxe Edition)
Bang Bang Bang,When the Sun Goes Down (Deluxe Edition)
Who Says,When the Sun Goes Down (Deluxe Edition)
We Own The Night - Featuring Pixie Lott,When the Sun Goes Down (Deluxe Edition)
Hit The Lights,When the Sun Goes Down (Deluxe Edition)
Whiplash,When the Sun Goes Down (Deluxe Edition)
When The Sun Goes Down,When the Sun Goes Down (Deluxe Edition)
My Dilemma,When the Sun Goes Down (Deluxe Edition)
That's More Like It,When the Sun Goes Down (Deluxe Edition)
Outlaw,When the Sun Goes Down (Deluxe Edition)
Middle Of Nowhere,When the Sun Goes Down (Deluxe Edition)
Dices,When the Sun Goes Down (Deluxe Edition)
Love You Like a Love Song - Dave Audé Radio Mix,When the Sun Goes Down (Deluxe Edition)
Love You Like a Love Song - Dave Audé Club Mix,When the Sun Goes Down (Deluxe Edition)
Love You Like a Love Song - Jumpsmokers Radio Remix,When the Sun Goes Down (Deluxe Edition)
Love You Like a Love Song - Jumpsmokers Club Remix,When the Sun Goes Down (Deluxe Edition)
Love You Like a Love Song - DJ Escape & Tony Coluccio Radio Remix,When the Sun Goes Down (Deluxe Edition)
Love You Like a Love Song - DJ Escape & Tony Coluccio Club Remix,When the Sun Goes Down (Deluxe Edition)
Love You Like a Love Song - Mixin Marc & Tony Svejda Radio Remix,When the Sun Goes Down (Deluxe Edition)
Love You Like a Love Song - Mixin Marc & Tony Svejda Club Remix,When the Sun Goes Down (Deluxe Edition)
Who Says - Dave Audé Radio Remix,When The Sun Goes Down (Deluxe Edition)
Round & Round - 7th Heaven Radio Mix,When The Sun Goes Down (Deluxe Edition)
A Year Without Rain - Fascination Club Radio Edit,When The Sun Goes Down (Deluxe Edition)
Birthday,Stars Dance (Bonus Track Version)
Slow Down,Stars Dance (Bonus Track Version)
Stars Dance,Stars Dance (Bonus Track Version)
Like A Champion,Stars Dance (Bonus Track Version)
Come & Get It,Stars Dance (Bonus Track Version)
Forget Forever,Stars Dance (Bonus Track Version)
Save The Day,Stars Dance (Bonus Track Version)
B.E.A.T.,Stars Dance (Bonus Track Version)
Write Your Name,Stars Dance (Bonus Track Version)
Undercover,Stars Dance (Bonus Track Version)
Love Will Remember,Stars Dance (Bonus Track Version)
Nobody Does It Like You - Bonus Track,Stars Dance (Bonus Track Version)
Music Feels Better - Bonus Track,Stars Dance (Bonus Track Version)
Birthday,Stars Dance
Slow Down,Stars Dance
Stars Dance,Stars Dance
Like A Champion,Stars Dance
Come & Get It,Stars Dance
Forget Forever,Stars Dance
Save The Day,Stars Dance
B.E.A.T.,Stars Dance
Write Your Name,Stars Dance
Undercover,Stars Dance
Love Will Remember,Stars Dance
Birthday,Stars Dance (Deluxe Edition)
Slow Down,Stars Dance (Deluxe Edition)
Stars Dance,Stars Dance (Deluxe Edition)
Like A Champion,Stars Dance (Deluxe Edition)
Come & Get It,Stars Dance (Deluxe Edition)
Forget Forever,Stars Dance (Deluxe Edition)
Save The Day,Stars Dance (Deluxe Edition)
B.E.A.T.,Stars Dance (Deluxe Edition)
Write Your Name,Stars Dance (Deluxe Edition)
Undercover,Stars Dance (Deluxe Edition)
Love Will Remember,Stars Dance (Deluxe Edition)
Nobody Does It Like You,Stars Dance (Deluxe Edition)
Music Feels Better,Stars Dance (Deluxe Edition)
Lover In Me,Stars Dance (Deluxe Edition)
I Like It That Way,Stars Dance (Deluxe Edition)
Come & Get It - Jump Smokers Radio Remix,Stars Dance (Deluxe Edition)
Nobody Does It Like You,Stars Dance
Music Feels Better,Stars Dance
Come & Get It - Dave Audé Radio,Stars Dance
Revival,Revival
Kill Em With Kindness,Revival
Hands To Myself,Revival
Same Old Love,Revival
Sober,Revival
Good For You,Revival
Camouflage,Revival
Me & The Rhythm,Revival
Survivors,Revival
Body Heat,Revival
Rise,Revival
Me & My Girls,Revival
Nobody,Revival
Perfect,Revival
Outta My Hands (Loco),Revival
Cologne,Revival
Good For You - KASBO Remix,Revival
Revival,Revival (Deluxe)
Kill Em With Kindness,Revival (Deluxe)
Hands To Myself,Revival (Deluxe)
Same Old Love,Revival (Deluxe)
Sober,Revival (Deluxe)
Good For You,Revival (Deluxe)
Camouflage,Revival (Deluxe)
Me & The Rhythm,Revival (Deluxe)
Survivors,Revival (Deluxe)
Body Heat,Revival (Deluxe)
Rise,Revival (Deluxe)
Me & My Girls,Revival (Deluxe)
Nobody,Revival (Deluxe)
Perfect,Revival (Deluxe)
Outta My Hands (Loco),Revival (Deluxe)
Cologne,Revival (Deluxe)
Rare,Rare
Dance Again,Rare
Look At Her Now,Rare
Lose You To Love Me,Rare
Ring,Rare
Vulnerable,Rare
People You Know,Rare
Let Me Get Me,Rare
Crowded Room (feat. 6LACK),Rare
Kinda Crazy,Rare
Fun,Rare
Cut You Off,Rare
A Sweeter Place (feat. Kid Cudi),Rare
Boyfriend,Rare (Deluxe)
Lose You To Love Me,Rare (Deluxe)
Rare,Rare (Deluxe)
Souvenir,Rare (Deluxe)
Look At Her Now,Rare (Deluxe)
She,Rare (Deluxe)
Crowded Room (feat. 6LACK),Rare (Deluxe)
Vulnerable,Rare (Deluxe)
Dance Again,Rare (Deluxe)
Ring,Rare (Deluxe)
A Sweeter Place (feat. Kid Cudi),Rare (Deluxe)
People You Know,Rare (Deluxe)
Cut You Off,Rare (Deluxe)
Let Me Get Me,Rare (Deluxe)
Kinda Crazy,Rare (Deluxe)
Fun,Rare (Deluxe)
Feel Me,Rare (Deluxe)
